交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
3月28日,260,261.5,259.5,259.5,-3,-1.14,0.76,"1,598","1,666",0.96,4.15,-824,23,2.29,-799,29.8,12,336,0,0,0
3月25日,262,263,260.5,262.5,-2,-0.76,0.95,"1,467","1,135",1.29,3.85,-512,2,-2.49,-513,29.9,10,324,0,0,0
3月24日,261.5,266,260.5,264.5,4.5,1.73,2.12,"4,744","2,103",2.26,12.5,"-1,793",-23,1.02,"-1,815",30,-15,314,0,0,0
3月23日,261,264,260,260,-0.5,-0.19,1.54,"2,253","1,333",1.69,5.89,-109,0,40.1,-68.6,30.1,-5,329,0,0,0
3月22日,260.5,261,258.5,260.5,1,0.39,0.96,"1,410","1,330",1.06,3.66,-579,43,10.3,-525,30.2,7,334,0,0,0
3月21日,260,261,259,259.5,1.5,0.58,0.78,"1,218","1,312",0.93,3.16,-508,-6,-0.17,-514,30.2,-5,327,0,0,0
3月18日,263,263.5,258,258,-3,-1.15,2.11,"3,092","1,719",1.8,8.01,"-1,052",89.1,8.21,-954,30.3,9,332,0,0,0
3月17日,263.5,265,258.5,261,1,0.38,2.5,"2,360","1,915",1.23,6.19,-366,2,6.37,-358,30.4,-4,323,0,0,0
3月16日,260.5,262,258.5,260,-1.5,-0.57,1.34,"2,994","1,319",2.27,7.81,-385,17,13.7,-355,30.4,3,327,0,0,0
3月15日,261,262,259.5,261.5,1.5,0.58,0.96,"1,608","1,169",1.38,4.19,-661,42,3.95,-615,30.4,-1,324,0,0,0
